Nodes : 23434  Edges : 22911
Highest degree : 113  Highest weight : 103
Id : 2GEMECI  Deg : 2  Max weight : [('Marianawjao', 16)]
Id : Marianawjao  Deg : 1  Max weight : [('2GEMECI', 16)]
Id : MiloudImrane  Deg : 20  Max weight : [('chrollowifeee', 12), ('GHB_241', 18), ('MiloudImrane', 14)]
Id : chrollowifeee  Deg : 1  Max weight : [('MiloudImrane', 12)]
Id : MarsSailor_  Deg : 12  Max weight : [('MarsSailor_', 22)]
Id : Billytrz  Deg : 12  Max weight : [('loubnaa_zhr', 11)]
Id : laniokance  Deg : 1  Max weight : [('kmnmkz', 12)]
Id : bnhltn  Deg : 16  Max weight : [('loubnaa_zhr', 13)]
Id : fredwauters  Deg : 7  Max weight : [('fredwauters', 14)]
Id : VampireKat  Deg : 1  Max weight : [('maartenvda', 72)]
Id : SamuelDLuffy  Deg : 1  Max weight : [('pulga1040', 28)]
Id : Yassine_Ao  Deg : 4  Max weight : [('Yassine_Ao', 20)]
Id : thmusicaddict  Deg : 3  Max weight : [('mathias_gevaert', 15)]
Id : StgSimba  Deg : 6  Max weight : [('Mkhtf1', 14)]
Id : studio_caro  Deg : 10  Max weight : [('studio_caro', 12)]
Id : vie_dwam  Deg : 2  Max weight : [('vie_dwam', 30)]
Id : _szvs_  Deg : 10  Max weight : [('Bonsoiiirr', 14)]
Id : srh_2109  Deg : 26  Max weight : [('srh_2109', 14)]
Id : sarouxche  Deg : 6  Max weight : [('sarouxche', 14)]
Id : oniizuukkaa  Deg : 1  Max weight : [('Biirdyx_', 22)]
Id : La_Grintaa_  Deg : 9  Max weight : [('adamecr007', 11)]
Id : littleshy23  Deg : 6  Max weight : [('Zekolebg', 15)]
Id : Zekolebg  Deg : 1  Max weight : [('littleshy23', 15)]
Id : H_sakuraaaa  Deg : 5  Max weight : [('ArabiannWomen', 15)]
Id : mnl_pvv  Deg : 6  Max weight : [('vii_shn', 15)]
Id : tjrsad  Deg : 2  Max weight : [('franchementyes', 13)]
Id : borrielloforeal  Deg : 7  Max weight : [('Nazim_mkt', 11)]
Id : assssiette  Deg : 3  Max weight : [('sisi4248', 15)]
Id : Urtoez75_2  Deg : 1  Max weight : [('maartenvda', 29)]
Id : KatrienAckx  Deg : 6  Max weight : [('TomDeeCee', 12)]
Id : TomDeeCee  Deg : 36  Max weight : [('KatrienAckx', 12)]
Id : Bonsoiiirr  Deg : 8  Max weight : [('eYsnnn_', 12), ('_szvs_', 14)]
Id : Tg_leese  Deg : 13  Max weight : [('ebonykorny', 13)]
Id : Shwpss  Deg : 6  Max weight : [('Maaxxlol', 31)]
Id : Maaxxlol  Deg : 1  Max weight : [('Shwpss', 31)]
Id : eveningoflight  Deg : 10  Max weight : [('eveningoflight', 82)]
Id : Thomas_Young77  Deg : 1  Max weight : [('LtAldoApache_', 16)]
Id : MyAssBurning  Deg : 5  Max weight : [('pblamzy', 11)]
Id : pblamzy  Deg : 1  Max weight : [('MyAssBurning', 11)]
Id : LMalekusa  Deg : 3  Max weight : [('LMalekusa', 22)]
Id : mitrovicaliju  Deg : 1  Max weight : [('flowraaz', 15)]
Id : AnouarMMA  Deg : 13  Max weight : [('sisi4248', 23)]
Id : FouDuVillage  Deg : 1  Max weight : [('kelzss0', 18)]
Id : JoackimOmnk  Deg : 8  Max weight : [('Ackerhtd', 11)]
Id : imanebchmr  Deg : 12  Max weight : [('eYsnnn_', 20)]
Id : oiprocs_yb  Deg : 2  Max weight : [('xsharetty', 11)]
Id : TemsTemss  Deg : 10  Max weight : [('TemsTemss', 14)]
Id : Miesli2  Deg : 52  Max weight : [('Miesli2', 30)]
Id : filter_miss  Deg : 2  Max weight : [('DjeeDeeBee', 17)]
Id : oukhtyenroller  Deg : 11  Max weight : [('oukhtyenroller', 34)]
Id : jsppkazyy  Deg : 1  Max weight : [('OukhtySpies', 12)]
Id : linaaa_blms  Deg : 2  Max weight : [('GuetteLaVie', 11)]
Id : bavenhur  Deg : 4  Max weight : [('bavenhur', 16)]
Id : thxjen_  Deg : 8  Max weight : [('Ackerhtd', 27)]
Id : JTfrancais  Deg : 3  Max weight : [('JTfrancais', 16)]
Id : GHB_241  Deg : 1  Max weight : [('MiloudImrane', 18)]
Id : pvmgl1  Deg : 3  Max weight : [('arzugsss', 11)]
Id : Deuspi_HBK  Deg : 5  Max weight : [('emnaplk', 11)]
Id : RemiGau  Deg : 1  Max weight : [('RemiGau', 24)]
Id : martinebillen58  Deg : 7  Max weight : [('ErwinBoydens', 11)]
Id : ErwinBoydens  Deg : 1  Max weight : [('martinebillen58', 11)]
Id : syifatruth  Deg : 3  Max weight : [('syifatruth', 14)]
Id : emnaplk  Deg : 1  Max weight : [('Deuspi_HBK', 11)]
Id : Mkhtf1  Deg : 10  Max weight : [('StgSimba', 14)]
Id : _noorpv  Deg : 1  Max weight : [('locombiaaa22', 11)]
Id : yeriouam  Deg : 12  Max weight : [('minhoscut', 13)]
Id : RSnooppi  Deg : 2  Max weight : [('flowraaz', 24)]
Id : EliifZn  Deg : 5  Max weight : [('Rhbyoo', 11)]
Id : idekyas  Deg : 2  Max weight : [('n1iiss', 14)]
Id : juanesparza  Deg : 19  Max weight : [('juanesparza', 30)]
Id : milamet1l  Deg : 8  Max weight : [('BaeteSam', 14)]
Id : BaeteSam  Deg : 1  Max weight : [('milamet1l', 14)]
