,user,user_id,location,is_reply_to,reply_id,is_quoted,is_rt,time
145,Mangaloves,47940038,Brussels,JulianJeweil,343232861,False,False,2020-12-30 16:39:40
146,Fanofflight,1706513053,Sint-Genesius-Rode,marcelsel,35761322,False,False,2020-12-30 16:39:36
147,Insight963,781095517644267520,Schaarbeek,Hhn2020,1173727172789440518,False,False,2020-12-30 16:39:35
148,Romabelgium,373003423,Antwerp,,,False,False,2020-12-30 16:39:29
149,JackyVandecast1,1324290998432878593,Tielt,Karinvr066,964723081,False,False,2020-12-30 16:39:07
150,ThierryZeller,28781367,Waterloo,kvcpl,957260221,False,False,2020-12-30 16:39:01
151,celikbetul75,1107672971366273027,Heusden-Zolder,AvatarfWan,1068243377441906689,False,False,2020-12-30 16:38:32
152,madalinacazan1,1332004191863255040,Charleroi,mafjtob,618984539,False,False,2020-12-30 16:38:05
153,stijn_wille,488343170,De Panne,KrThijs,1729841923,False,False,2020-12-30 16:37:57
154,LesRDVdeCbas,338922525,Tournai,,,False,False,2020-12-30 16:37:49
155,JackyVandecast1,1324290998432878593,Tielt,jenny68119220,1131876829076381696,False,False,2020-12-30 16:37:27
156,c_ktenas,756273866012520449,Sint-Gillis,Johanne69715410,1304170294622420994,False,False,2020-12-30 16:37:26
157,yesimtireddd,3304140819,Ghent,nilsdjoos,26523674,False,False,2020-12-30 16:37:10
158,JackyVandecast1,1324290998432878593,Tielt,AnitaVMe,1612807160,False,False,2020-12-30 16:37:08
159,t_mobilis_nl,55241812,Dilbeek,,,False,False,2020-12-30 16:36:40
160,esthababe,892906675233009664,Anderlecht,,,True,False,2020-12-30 16:36:35
161,DylanRennoir,581153914,Brussels,,,False,False,2020-12-30 16:36:16
162,Magda49437517,1178727088754442241,Schoten,,,False,False,2020-12-30 16:36:12
163,kaffee_ine,281976035,Mechelen,,,False,False,2020-12-30 16:36:11
164,_cmoiwshh,1215446748598063104,Sint-Jans-Molenbeek,_Md_031,702189665588277248,False,False,2020-12-30 16:35:59
165,G_Man140,110557250,Antwerp,,,False,False,2020-12-30 16:35:41
166,c_ktenas,756273866012520449,Sint-Gillis,albertinoferre,111887189,False,False,2020-12-30 16:35:37
167,Sarcasm_Defense,376357243,Ypres,NMBS,14309512,False,False,2020-12-30 16:35:35
168,Kimpy001,277077567,Zoutleeuw,vdputter,1065515736,False,False,2020-12-30 16:35:35
169,ByRuxandra,591251417,Brussels,,,False,False,2020-12-30 16:35:30
170,NicLeeBee,19419331,Jurbise,,,False,False,2020-12-30 16:35:15
171,blt_ml,1329446673278509059,Neerpelt,,,False,False,2020-12-30 16:35:13
172,tinynews_be,29404934,Chièvres,Marm0te,60978324,False,False,2020-12-30 16:35:09
173,MartinLed5,1171680618859704320,Sint-Lambrechts-Woluwe,iness_ml,1206122377400258560,False,False,2020-12-30 16:34:47
174,ThierryZeller,28781367,Waterloo,kvcpl,957260221,False,False,2020-12-30 16:34:35
175,blt_ml,1329446673278509059,Neerpelt,,,False,False,2020-12-30 16:34:30
176,DrKoof,1038890997852385281,Rijkevorsel,WSJ,3108351,False,False,2020-12-30 16:34:15
177,c_ktenas,756273866012520449,Sint-Gillis,carlbildt,18549724,False,False,2020-12-30 16:34:00
178,angeliquedupre,57991855,Ghent,biekepurnelle,64700696,False,False,2020-12-30 16:33:35
179,stefan_vanloock,3121031667,Haacht,F_Metsemakers,77493055,False,False,2020-12-30 16:33:14
180,Kimpy001,277077567,Zoutleeuw,,,False,False,2020-12-30 16:33:10
181,robersonfsilva1,809005423315611648,Brussels,,,True,False,2020-12-30 16:32:54
182,MartijnDupre,382791741,Wetteren,,,False,False,2020-12-30 16:32:27
183,Spiderdimit,74655888,Eghezée,,,False,False,2020-12-30 16:32:23
